TradingDate,AAA,ACB,AGG,ANV,ASM,BCG,BCM,BID,BMP,BVH,BWE,CII,CMG,CRE,CTD,CTG,CTR,DBC,DCM,DGC,DGW,DHC,DIG,DPM,DXG,DXS,EIB,FPT,FRT,FTS,GAS,GEG,GEX,GMD,GVR,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NKG,NLG,NT2,NVL,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SAM,SBT,SCR,SCS,SHB,SJS,SSB,SSI,STB,SZC,TCB,TCH,TMS,TPB,VCB,VCG,VCI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSH
8/12/2021,15240,19815,35448,26702,10664,12094,43711,30058,43375,49928,31146,17431,22719,17452,50319,30049,63800,25817,18936,40950,42969,65807,26681,24505,18690,17721,18856,64372,23384,22664,73985,14685,21601,44556,32298,25570,18506,37416,31385,16000,33300,29602,16667,63968,26175,58719,33389,28400,15117,20401,18401,110670,55591,25807,36531,15257,79088,16467,31000,19093,61318,44285,48085,66994,11164,17453,66468,14886,17829,35118,71035,9210,17246,10649,65203,17225,64900,22394,34358,29600,29743,50430,12793,31879,17455,65486,34640,39891,32192,86213,22338,98757,8657,118700,17319,78791,20752,33643,28000,21120
8/13/2021,15329,19843,34958,28337,10732,12206,42837,29882,43300,49115,30980,17862,22953,17149,50245,29961,62400,26692,20184,40742,42996,64536,27870,26202,18813,17596,18574,65196,24072,24241,72810,14603,21153,46351,32769,26627,18348,39747,32809,16300,33472,29563,16401,63051,26850,58528,34546,28400,15270,20470,18135,110257,55918,26377,37348,15098,79012,16401,32200,20007,60721,44202,47994,66994,11115,17302,64717,14772,19041,35118,70432,9118,17076,10464,65867,17284,64200,22271,35132,29700,30448,50624,12727,31360,17455,65289,34409,41191,34445,88423,22229,98579,8581,118000,17947,78268,21322,34048,28000,20824
8/16/2021,15903,20039,36779,28973,10492,12466,43226,30409,43074,48935,31934,17718,23866,17317,49876,30660,63500,27244,20184,41448,43885,65732,27788,27559,19595,18158,18750,65610,24072,25916,73750,15012,21466,46115,35029,28036,18876,39627,32535,17100,34022,30036,17155,63509,27863,58241,34463,28450,15392,21438,18638,110257,55623,26477,37391,15297,79241,16734,32300,20196,60788,44862,47268,66994,11262,17453,66144,14697,19603,35622,70339,9256,18095,10603,66674,17463,63500,22394,36978,30300,30256,52369,12596,31706,17791,65945,33449,44010,35056,85476,22774,98312,9172,117300,18541,77920,21993,33927,28500,21458
8/17/2021,15638,19983,36779,29064,10595,11983,43226,30163,42699,48393,31270,17240,23710,17385,49580,30224,63900,26968,20400,42363,44262,66031,26353,27145,19595,17721,18750,65055,24874,26606,72341,14644,21287,45594,35312,27684,18876,38850,31769,17000,34676,31376,17199,63785,27375,57764,34050,28450,16003,21576,18578,109431,55558,27818,36316,15218,78783,16668,30700,20102,60456,44202,46815,67703,11164,17679,65820,15000,20079,35685,67509,9210,18223,10232,66911,17582,63700,22516,36502,30150,29775,51690,12498,30898,17911,66207,33065,44732,35285,81792,22693,98900,9382,117300,18401,77746,21825,33359,28050,22936
8/18/2021,15594,19955,35868,29700,10732,11945,43711,29953,41947,49386,31353,17335,23423,18326,49359,30136,63700,27336,20184,43652,44154,65658,27870,26240,19348,17472,18574,65194,24645,26556,72497,14767,20884,45216,35359,28137,18797,38790,32042,16900,34676,31455,17022,64794,27488,57764,34298,28500,15820,21507,18223,111083,56408,28153,36101,15337,78630,16668,30700,20196,58998,43790,46815,67136,11213,17339,65690,15151,20079,38144,67741,9118,18011,10279,67575,17523,65100,22180,35847,29950,29935,51205,12662,31302,17863,66207,32643,45600,36354,81055,22393,97900,10030,118000,18611,78356,21456,33562,27800,24541
8/19/2021,16124,19815,35728,29745,10836,12764,44197,29847,41947,49657,31851,17814,23423,17990,49728,29961,65700,27750,20141,45232,44154,65807,28526,26315,19348,17472,18291,65541,24416,26113,71166,15216,21153,44507,36536,28388,19008,39030,32481,17200,35020,31888,17465,64794,27900,57668,34340,28550,15575,21507,17809,112569,56408,28086,36187,15337,80081,16534,31700,20606,58534,43955,46724,66640,11164,17377,66792,14772,19863,38270,68669,9118,18988,10325,66436,17403,64700,21966,37335,29950,30512,51399,12432,30898,17599,67387,32950,46178,36354,81792,22093,104000,10717,120000,18890,78617,21657,34048,27950,24077
8/20/2021,15373,18860,34537,27883,10148,12727,44197,28443,41571,48212,31104,16952,23945,17250,49359,28564,65500,26922,20357,44691,45123,63564,26640,27258,18113,16848,17585,64362,22897,26162,68504,14767,21511,44790,34229,28690,18216,38253,30235,17700,33712,30548,17288,63418,27450,57573,32563,28050,14659,20677,16803,110505,53629,26511,35156,15416,79165,15867,29100,19188,56413,42306,45000,64868,10721,17226,64977,13863,18478,38649,66349,8934,18435,9769,67101,16927,62000,21904,37216,28300,29038,48975,12465,30262,16784,65617,32182,44877,34445,79655,21085,97700,11251,119800,18506,76440,20953,33805,27050,22429
8/23/2021,14843,17962,33276,25976,9632,11683,43663,27600,40218,46948,31602,16809,25614,17217,48029,28564,63800,26692,21088,45356,45500,61694,26599,28049,17249,16036,16949,63113,21665,27640,67173,14774,21511,44743,32204,28741,17741,37356,28154,17500,32680,29563,16977,63418,27000,57383,31406,27950,13804,19778,15975,104888,51699,26545,35027,15337,80081,15067,27100,18274,54490,41234,44002,62741,10377,16999,63550,13030,17310,36568,64957,8842,17841,9306,66436,16331,62500,21598,37752,27000,27563,47278,12334,30205,16209,63782,31721,44949,32497,78992,19614,96200,11746,120300,18611,74873,20316,33643,26050,22472
8/24/2021,14843,18131,33241,26112,9494,10927,43226,27670,39842,47490,31353,16234,26501,17317,47733,28608,61300,26277,20314,44691,47021,61395,25083,26692,17372,16723,17020,63738,22582,26014,67330,14285,20256,44412,32016,26778,17793,37057,28208,16700,32852,29642,16578,62500,26925,57190,31406,28050,14079,19744,16330,106127,52484,26947,35199,15138,80539,15267,26900,18999,57009,41646,44274,62599,10377,16924,61929,13333,17829,36505,66071,8833,17416,9538,65487,16092,62500,21782,36442,27250,27307,47520,11940,29685,16329,63585,31874,41986,33796,79065,19533,95400,10926,122800,17458,75134,20450,33886,26150,22894
8/25/2021,15108,18215,33311,25976,9872,10996,43226,27705,40293,47580,31187,16186,26188,17486,48176,28083,61200,26600,19969,44857,46046,61320,26804,25561,17372,16972,17373,63738,22352,25965,68348,14418,20212,45311,33146,27281,17846,38253,29304,16000,33300,30509,16756,62592,27150,57576,31736,28350,14201,19778,16508,111496,52811,28798,35672,15456,80539,15401,28200,19282,57540,41481,44955,63095,11066,17037,61929,13636,18132,36631,68298,8842,17841,9677,65487,16390,64500,21843,36919,27350,27884,47666,12038,30089,16736,63913,31874,43215,34216,78844,20159,94600,10526,127000,17982,75657,20584,34048,26300,23401
